tuoi,chieu_cao,so_tran,ban_thang,kien_tao,so_phut_tren_ban,so_phut,danh_hieu,Centre_Forward,Central_Midfield,Left_Winger,Attacking_Midfield,Right_Winger,Defensive_Midfield,Second_Striker,Centre_Back,Right_Back,Left_Back ,Goalkeeper,Right_Midfield,Left_Midfield,value_club,value
24,1.73,33,0,2,0,2180,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1020,40
28,1.8,36,3,7,746,2239,3,0,1,0,0,0,0,0,0,0,0,0,0,0,457,40
26,1.8,40,6,1,561,3366,2,0,0,0,0,0,1,0,0,0,0,0,0,0,398.7,40
26,1.75,33,1,2,2411,2411,6,0,0,0,0,0,0,0,0,0,1,0,0,0,890,40
27,1.85,41,10,9,304,3042,6,0,0,0,1,0,0,0,0,0,0,0,0,0,547.7,40
29,1.8,46,7,11,401,2806,2,0,1,0,0,0,0,0,0,0,0,0,0,0,629,40
30,1.91,32,0,0,0,2493,6,0,0,0,0,0,0,0,1,0,0,0,0,0,795.7,40
30,1.88,38,31,16,110,3424,6,0,0,0,0,0,0,0,0,0,0,1,0,0,457,40
30,1.91,33,13,6,135,1753,6,1,0,0,0,0,0,0,0,0,0,0,0,0,534.45,40
30,1.9,50,2,0,1833,3666,6,0,0,0,0,0,0,0,1,0,0,0,0,0,860.8,40
31,1.87,47,36,27,118,4260,6,0,0,0,0,0,0,0,0,0,0,1,0,0,767,40
29,1.77,36,2,2,1224,2447,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1020,40
34,1.85,43,32,7,115,3684,6,1,0,0,0,0,0,0,0,0,0,0,0,0,767,40
20,1.72,43,4,7,676,2705,1,0,0,0,0,1,0,0,0,0,0,0,0,0,278.2,38
25,1.9,40,46,14,79,3630,2,0,0,0,0,0,0,0,0,0,0,1,0,0,890,38
22,1.82,14,0,1,0,226,3,0,0,0,1,0,0,0,0,0,0,0,0,0,890,38
27,1.89,37,3,3,760,2281,3,0,1,0,0,0,0,0,0,0,0,0,0,0,882.55,38
26,1.86,40,8,3,414,3313,1,0,0,0,1,0,0,0,0,0,0,0,0,0,494.3,38
26,1.82,52,12,9,344,4128,0,0,0,0,0,1,0,0,0,0,0,0,0,0,451.5,38
29,1.85,39,3,0,868,2604,3,0,0,1,0,0,1,0,0,0,0,0,0,0,890,38
28,1.7,47,1,1,3865,3865,5,0,0,0,0,0,1,0,0,0,0,0,0,0,629,38
28,1.77,44,10,5,389,3886,0,0,1,0,0,0,0,0,0,0,0,0,0,0,397,38
20,1.91,40,15,6,159,2380,2,1,0,0,0,0,0,0,0,0,0,0,0,0,329.5,35
22,1.82,45,1,0,3434,3434,1,0,0,0,0,0,0,0,1,0,0,0,0,0,547.25,35
20,1.7,45,5,2,447,2234,6,0,0,0,1,0,0,0,0,0,0,0,0,0,879,35
23,1.73,42,5,13,623,3115,2,0,0,0,0,0,0,0,0,1,0,0,0,0,680.3,35
21,1.8,31,9,6,203,1830,6,0,0,0,0,0,0,0,0,0,0,0,0,0,547.7,35
22,1.71,47,9,11,421,3787,3,0,0,0,0,0,0,0,0,1,0,0,0,0,421.85,35
20,1.78,48,7,4,244,1707,3,0,0,0,0,0,0,0,0,0,0,0,0,0,767,35
25,1.77,39,6,6,518,3106,1,0,1,0,0,0,0,0,0,0,0,0,0,0,437,35
26,1.84,22,12,5,143,1719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320.3,35
23,1.81,45,16,8,204,3261,1,1,0,0,0,0,0,0,0,0,0,0,0,0,320.3,35
23,1.72,33,6,4,218,1306,2,0,0,0,0,0,0,1,0,0,0,0,0,0,629,35
25,1.87,43,4,3,902,3609,6,0,0,0,0,0,1,0,0,0,0,0,0,0,280.15,35
22,1.82,39,1,0,3510,3510,2,0,0,0,0,0,0,0,1,0,0,0,0,0,309.95,35
25,1.91,44,8,3,459,3675,2,0,0,0,0,0,1,0,0,0,0,0,0,0,201.6,35
24,1.83,41,2,3,1578,3155,3,0,0,0,0,0,0,0,0,1,0,0,0,0,795.7,35
23,1.94,24,0,0,0,2080,3,0,0,0,0,0,0,0,1,0,0,0,0,0,879,35
27,1.86,42,7,1,469,3282,6,0,0,1,0,0,0,0,0,1,0,0,0,0,979.7,35
26,1.87,39,0,0,0,3335,1,0,0,0,0,0,0,0,1,0,0,0,0,0,376,35
27,1.79,19,0,0,0,499,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1050,35
26,1.8,31,2,4,1029,2058,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1020,35
27,1.8,27,0,1,0,1999,6,0,0,0,0,0,0,0,0,0,1,0,0,0,860.8,35
26,1.86,46,8,9,458,3664,1,0,0,0,1,0,0,0,0,0,0,0,0,0,317.15,35
28,1.92,49,3,6,1214,3643,5,0,0,0,0,0,1,0,0,0,0,0,0,0,451.5,35
28,1.84,29,3,3,747,2240,6,0,1,0,0,0,0,0,0,0,0,0,0,0,457,35
27,1.83,15,0,0,0,966,6,0,0,0,0,0,0,0,1,0,0,0,0,0,882.55,35
29,1.74,40,11,4,259,2849,2,0,0,0,0,1,0,0,0,0,0,0,0,0,494.3,35
26,1.73,30,1,5,1307,1307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.3,35
28,1.71,42,8,4,219,1749,6,0,0,0,0,1,0,0,0,0,0,0,0,0,457,35
25,1.94,34,35,15,86,3015,1,0,0,0,0,0,0,0,0,0,0,1,0,0,547.7,35
27,1.9,39,4,0,839,3355,3,0,0,0,0,0,1,0,0,0,0,0,0,0,253.5,35
28,1.85,34,2,1,1434,2868,5,0,0,0,0,0,0,0,1,0,0,0,0,0,457,35
27,1.72,31,1,3,2745,2745,1,0,0,0,0,0,0,0,0,0,1,0,0,0,225.65,35
27,1.78,45,1,6,3511,3511,3,0,0,0,0,0,0,0,0,0,1,0,0,0,795.7,35
27,1.91,27,26,9,93,2430,3,0,0,0,0,0,0,0,0,0,0,1,0,0,547.25,35
28,1.8,38,3,0,913,2739,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1050,35
27,1.95,40,1,4,3017,3017,6,0,0,0,0,0,0,0,1,0,0,0,0,0,547.7,35
29,1.78,45,4,8,798,3190,6,0,1,0,0,0,0,0,0,0,0,0,0,0,534.45,35
31,1.78,40,3,1,886,2658,6,0,0,0,0,0,1,0,0,0,0,0,0,0,890,35
35,1.85,41,29,6,120,3467,6,1,0,0,0,0,0,0,0,0,0,0,0,0,860.8,35
21,1.8,37,6,6,443,2657,0,0,1,0,0,0,0,0,0,0,0,0,0,0,437,32
23,1.82,43,3,1,624,1873,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1020,32
23,1.72,21,1,0,1088,1088,2,0,0,0,0,1,0,0,0,0,0,0,0,0,398.7,32
22,1.92,48,2,8,1862,3723,0,0,0,0,0,0,1,0,0,0,0,0,0,0,235.6,32
25,1.97,25,30,8,76,2280,0,0,0,0,0,0,0,0,0,0,0,1,0,0,358.7,32
25,1.82,39,12,3,263,3157,2,0,0,1,0,0,0,0,0,0,0,0,0,0,443.1,32
23,1.92,42,2,1,1864,3728,1,0,0,0,0,0,0,0,1,0,0,0,0,0,294.45,32
27,1.9,28,2,0,1240,2481,3,0,0,0,0,0,0,0,1,0,0,0,0,0,451.5,32
27,1.8,39,15,6,215,3225,1,1,0,1,0,0,0,0,0,0,0,0,0,0,437,32
25,1.92,31,16,7,164,2627,2,1,0,0,0,0,0,0,0,0,0,0,0,0,223,32
24,1.77,28,1,2,985,985,6,0,0,0,0,1,0,0,0,0,0,0,0,0,1020,32
26,1.83,30,0,0,0,1855,2,0,0,0,0,0,1,0,0,0,0,0,0,0,443.1,32
26,1.92,32,1,0,2783,2783,0,0,0,0,0,0,0,0,1,0,0,0,0,0,309.95,32
20,1.85,37,9,4,257,2313,0,0,0,0,1,0,0,0,0,0,0,0,0,0,146.2,30
19,1.75,42,1,7,3003,3003,3,0,0,0,0,0,0,0,0,0,1,0,0,0,767,30
22,1.85,31,1,1,2710,2710,0,0,1,0,0,0,0,0,0,0,0,0,0,0,223,30
23,1.9,45,0,0,0,3917,1,0,0,0,0,0,0,0,1,0,0,0,0,0,235.6,30
21,1.91,18,1,1,466,466,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1020,30
19,1.94,32,2,2,1160,2321,1,0,0,0,0,0,0,0,1,0,0,0,0,0,329.5,30
23,1.88,38,9,2,305,2749,1,0,0,0,1,0,0,0,0,0,0,0,0,0,226.3,30
20,1.79,47,20,12,186,3710,5,0,0,0,1,0,0,0,0,0,0,0,0,0,201.6,30
